"[1.0831671245035661, -0.18707108475369874, 0.2415984310537548, 0.9854930824240659, -0.18694935882794134, 0.2411274140634402, 0.08145013229889721, 0.08879100480427388, -0.03469914352802634, 0.08174234922492231, 0.08916060437859914]","[-0.18707108475369874, 1.3222810782845755, 0.2289618325347074, -0.18726513362372874, 1.2246201744426306, 0.22908414179156236, -0.060360932730367405, -0.0654792490256331, 0.04049440183595243, -0.06085052964313402, -0.06566042528751066]","[0.2415984310537548, 0.2289618325347074, 0.7766838415588626, 0.24134488235684637, 0.22917527341295857, 0.678819707384627, -0.03291849926543555, -0.053030985543286856, -0.0019850431665602917, -0.033446470567524166, -0.053524989964988216]","[0.9854930824240659, -0.18726513362372874, 0.24134488235684637, 1.0832448457871606, -0.18714343302456837, 0.2408740863720318, 0.08147481755263433, 0.08883029550554891, -0.03468240303221275, 0.08176731863473889, 0.08920061943561425]","[-0.18694935882794134, 1.2246201744426306, 0.22917527341295857, -0.18714343302456837, 1.322384774145893, 0.2292975735755581, -0.06036249177928301, -0.06548633206005909, 0.04051299507947822, -0.06085199689506365, -0.06566742591327739]","[0.2411274140634402, 0.22908414179156236, 0.678819707384627, 0.2408740863720318, 0.2292975735755581, 0.7763856949416734, -0.0329671630450229, -0.05303635229512873, -0.001621480962943266, -0.033496433248530987, -0.05353361700475826]","[0.08145013229889721, -0.060360932730367405, -0.03291849926543555, 0.08147481755263433, -0.06036249177928301, -0.0329671630450229, 0.2140963593860658, 0.10866503361855606, -0.02269487435537715, 0.11728510418279202, 0.10918145807452183]","[0.08879100480427388, -0.0654792490256331, -0.053030985543286856, 0.08883029550554891, -0.06548633206005909, -0.05303635229512873, 0.10866503361855606, 0.22404534876434473, -0.01480012419657856, 0.10939320048752274, 0.1264555016676713]","[-0.03469914352802634, 0.04049440183595243, -0.0019850431665602917, -0.03468240303221275, 0.04051299507947822, -0.001621480962943266, -0.02269487435537715, -0.01480012419657856, 0.25088961435204366, -0.022695829655388192, -0.014868431814700402]","[0.08174234922492231, -0.06085052964313402, -0.033446470567524166, 0.08176731863473889, -0.06085199689506365, -0.033496433248530987, 0.11728510418279202, 0.10939320048752274, -0.022695829655388192, 0.21623417649310514, 0.11043118641794344]","[0.08916060437859914, -0.06566042528751066, -0.053524989964988216, 0.08920061943561425, -0.06566742591327739, -0.05353361700475826, 0.10918145807452183, 0.1264555016676713, -0.014868431814700402, 0.11043118641794344, 0.22556949579001653]"
"[0.6326387559686645, 0.007557418292670039, -0.07976534328168003, 0.2965006930489555, 0.007598999189800253, -0.0798459005385183, -0.02366573495298114, -0.011988067288738804, -0.01832745421897353, -0.02767949521935453, -0.025263522526450866]","[0.007557418292670039, 0.590039617555651, -0.0865637941318247, 0.007471700348922753, 0.2539900543836543, -0.08626723574484527, 0.0536830212460361, 0.0892814540531168, 0.02024545425450647, 0.04988998867208114, 0.08445964114186746]","[-0.07976534328168003, -0.0865637941318247, 0.6660175672929846, -0.07950011255869076, -0.08652945282660852, 0.3295917594831351, -0.13354966281125435, -0.2360171374766939, -0.005795108941192538, -0.13609424564470443, -0.24405267164696717]","[0.2965006930489555, 0.007471700348922753, -0.07950011255869076, 0.6324643698295911, 0.0075132943812874905, -0.07958111189090987, -0.02378541872140664, -0.012181417423472351, -0.01835569426845124, -0.0277940152797372, -0.025443594955910045]","[0.007598999189800253, 0.2539900543836543, -0.08652945282660852, 0.0075132943812874905, 0.5900419425618609, -0.08623312104556377, 0.05366844060244224, 0.08925143415246899, 0.02017573430265398, 0.04987325643357851, 0.08442197359211787]","[-0.0798459005385183, -0.08626723574484527, 0.3295917594831351, -0.07958111189090987, -0.08623312104556377, 0.6652723453423974, -0.13308379929606945, -0.23508222069099252, -0.00541495380980185, -0.1357231708644137, -0.2433555146182323]","[-0.02366573495298114, 0.0536830212460361, -0.13354966281125435, -0.02378541872140664, 0.05366844060244224, -0.13308379929606945, 0.5767540207293544, 0.34781252391683176, 0.010135635182848738, 0.21298673147736305, 0.2946042277542778]","[-0.011988067288738804, 0.0892814540531168, -0.2360171374766939, -0.012181417423472351, 0.08925143415246899, -0.23508222069099252, 0.34781252391683176, 1.0120798650816976, 0.017482220822113346, 0.2885721495202411, 0.5280499793755983]","[-0.01832745421897353, 0.02024545425450647, -0.005795108941192538, -0.01835569426845124, 0.02017573430265398, -0.00541495380980185, 0.010135635182848738, 0.017482220822113346, 0.4839648186051294, 0.007879810146015263, 0.012642944809662165]","[-0.02767949521935453, 0.04988998867208114, -0.13609424564470443, -0.0277940152797372, 0.04987325643357851, -0.1357231708644137, 0.21298673147736305, 0.2885721495202411, 0.007879810146015263, 0.5660388568233921, 0.32793131718215124]","[-0.025263522526450866, 0.08445964114186746, -0.24405267164696717, -0.025443594955910045, 0.08442197359211787, -0.2433555146182323, 0.2946042277542778, 0.5280499793755983, 0.012642944809662165, 0.32793131718215124, 0.965765224887296]"
"[0.5484888519837363, -0.04797420342225746, 0.029372050627588006, 0.0490809219539732, -0.04799065176302426, 0.030518485964209804, 0.01698606304977971, -0.037108486828891056, 0.007494338069435801, 0.016496985342959496, -0.03573188068328286]","[-0.04797420342225746, 0.7376135025730125, -0.0522416072678306, -0.04791098971009805, 0.23827406674040352, -0.051133835696600634, 0.002603312226472157, -0.015234123886412036, 0.029963743058980443, -0.0009085136624999822, -0.0070297097251592906]","[0.029372050627588006, -0.0522416072678306, 0.6053806790740401, 0.029243193136284082, -0.052270082328314996, 0.10328760470040979, 0.032100105512809306, -0.05822212150099846, -0.0007256679322777683, 0.03193008586246416, -0.057501626046582426]","[0.0490809219539732, -0.04791098971009805, 0.029243193136284082, 0.5484071107875022, -0.04792742401377192, 0.030387626720957208, 0.01694143671836265, -0.037029351130492244, 0.007460519758757077, 0.016452219270611093, -0.03565286287292824]","[-0.04799065176302426, 0.23827406674040352, -0.052270082328314996, -0.04792742401377192, 0.7376685468668372, -0.051163452307892515, 0.0025732128516393065, -0.015164109049508583, 0.030019753193516442, -0.0009369928581705155, -0.006964460660201454]","[0.030518485964209804, -0.051133835696600634, 0.10328760470040979, 0.030387626720957208, -0.051163452307892515, 0.6045679598169905, 0.03338818165670365, -0.0608363074338599, -4.621335257013573e-05, 0.03327821638243957, -0.060249772561141515]","[0.01698606304977971, 0.002603312226472157, 0.032100105512809306, 0.01694143671836265, 0.0025732128516393065, 0.03338818165670365, 0.6401715520773424, -0.35377830264484983, 0.018750304833552806, 0.13310845070178365, -0.33483759835091725]","[-0.037108486828891056, -0.015234123886412036, -0.05822212150099846, -0.037029351130492244, -0.015164109049508583, -0.0608363074338599, -0.35377830264484983, 1.44832705933951, -0.04616549660986632, -0.335564888513207, 0.9010343954351738]","[0.007494338069435801, 0.029963743058980443, -0.0007256679322777683, 0.007460519758757077, 0.030019753193516442, -4.621335257013573e-05, 0.018750304833552806, -0.04616549660986632, 0.6041488885975648, 0.014788687851834771, -0.03635982556888876]","[0.016496985342959496, -0.0009085136624999822, 0.03193008586246416, 0.016452219270611093, -0.0009369928581705155, 0.03327821638243957, 0.13310845070178365, -0.335564888513207, 0.014788687851834771, 0.6395511301126141, -0.3520405778042027]","[-0.03573188068328286, -0.0070297097251592906, -0.057501626046582426, -0.03565286287292824, -0.006964460660201454, -0.060249772561141515, -0.33483759835091725, 0.9010343954351738, -0.03635982556888876, -0.3520405778042027, 1.4426391909144174]"
"[1.2486401733339936, 0.19743510350860602, -0.11584106146070519, 1.0047238814372095, 0.1973292575684285, -0.11570595679954802, 0.08399828057810756, -0.09527516854013407, 0.07147286298694053, 0.13164865796493763, 0.018155156448392357]","[0.19743510350860602, 0.7830350601342289, 0.1530408153953013, 0.19746731218949132, 0.5392289330503154, 0.15310455490326325, -0.05916105790007841, 0.0903404101167009, -0.008632888736988465, 0.265341097994155, -0.32405004977812624]","[-0.11584106146070519, 0.1530408153953013, 0.7448550487979503, -0.11573519924845783, 0.1533210115023779, 0.5008700618591139, -0.12365173874453984, 0.14217289510334397, 0.025339411546872533, 0.04454039117912502, -0.12892370116177485]","[1.0047238814372095, 0.19746731218949132, -0.11573519924845783, 1.2485818082737643, 0.19736150628336743, -0.11560044134099538, 0.08394104421536637, -0.09517537524025026, 0.07164205885385717, 0.13171629606206142, 0.018088998321113485]","[0.1973292575684285, 0.5392289330503154, 0.1533210115023779, 0.19736150628336743, 0.7831967079885143, 0.1533847100762504, -0.059209650209294654, 0.09036264477798346, -0.008670422726362212, 0.26534642865789354, -0.3240890159884971]","[-0.11570595679954802, 0.15310455490326325, 0.5008700618591139, -0.11560044134099538, 0.1533847100762504, 0.7446693043412148, -0.12411127438489587, 0.14319379481619365, 0.02477964901035, 0.04510093143202246, -0.13005409638256055]","[0.08399828057810756, -0.05916105790007841, -0.12365173874453984, 0.08394104421536637, -0.059209650209294654, -0.12411127438489587, 0.4427267624237263, -0.37910267173202306, -0.02127665322721006, -0.12862911202392452, 0.27816365307497465]","[-0.09527516854013407, 0.0903404101167009, 0.14217289510334397, -0.09517537524025026, 0.09036264477798346, 0.14319379481619365, -0.37910267173202306, 1.120519626565589, 0.05960221126717629, 0.3401409648947209, -0.6136940238604499]","[0.07147286298694053, -0.008632888736988465, 0.025339411546872533, 0.07164205885385717, -0.008670422726362212, 0.02477964901035, -0.02127665322721006, 0.05960221126717629, 0.4573483294656267, 0.030885773714111008, -0.022200326232741575]","[0.13164865796493763, 0.265341097994155, 0.04454039117912502, 0.13171629606206142, 0.26534642865789354, 0.04510093143202246, -0.12862911202392452, 0.3401409648947209, 0.030885773714111008, 0.6669379834158162, -0.5764899592059965]","[0.018155156448392357, -0.32405004977812624, -0.12892370116177485, 0.018088998321113485, -0.3240890159884971, -0.13005409638256055, 0.27816365307497465, -0.6136940238604499, -0.022200326232741575, -0.5764899592059965, 1.292740147076356]"
"[0.8615489284886637, -0.22873053309548075, -0.004869497073149111, 0.38145753353032136, -0.22873417760528997, -0.004774277790816203, -0.14202881394296699, 0.011472047005641906, 0.010501928996014532, -0.1456191771229772, 0.012041021045872222]","[-0.22873053309548075, 1.6116847324961383, 0.34156219735388677, -0.22881236031712396, 1.1316870599581752, 0.3414244093630427, 0.04272381724702136, -0.020122052100862698, -0.044484773554982336, 0.041756893676642294, -0.020081396398666046]","[-0.004869497073149111, 0.34156219735388677, 0.8309581636522814, -0.004942697456237123, 0.3416846398651561, 0.350776194576513, 0.02250322252412628, -0.004382670918740375, -0.012883928585266533, 0.020631118635960195, -0.005713976273986043]","[0.38145753353032136, -0.22881236031712396, -0.004942697456237123, 0.8615998598104735, -0.2288160091599722, -0.004847417829459075, -0.14203192521624391, 0.011475843237530302, 0.010560476050648956, -0.14561788911481374, 0.012043639729481958]","[-0.22873417760528997, 1.1316870599581752, 0.3416846398651561, -0.2288160091599722, 1.61192304520461, 0.3415468490984513, 0.04274102306073682, -0.02012511600175417, -0.044466928287031006, 0.041773058947794456, -0.020085108638554366]","[-0.004774277790816203, 0.3414244093630427, 0.350776194576513, -0.004847417829459075, 0.3415468490984513, 0.8308288128846382, 0.02250596853534667, -0.00431433887951077, -0.012833911982952513, 0.020624125026685116, -0.005646976759198212]","[-0.14202881394296699, 0.04272381724702136, 0.02250322252412628, -0.14203192521624391, 0.04274102306073682, 0.02250596853534667, 0.6705364000937685, 0.008582627388688594, 0.012139896767425737, 0.17546070662564392, 0.00853070763901127]","[0.011472047005641906, -0.020122052100862698, -0.004382670918740375, 0.011475843237530302, -0.02012511600175417, -0.00431433887951077, 0.008582627388688594, 0.516180744982007, 0.003320707289181897, 0.00824390363571477, 0.03411022442272801]","[0.010501928996014532, -0.044484773554982336, -0.012883928585266533, 0.010560476050648956, -0.044466928287031006, -0.012833911982952513, 0.012139896767425737, 0.003320707289181897, 0.6003851624962412, 0.013981094347126563, 0.0031867809309578765]","[-0.1456191771229772, 0.041756893676642294, 0.020631118635960195, -0.14561788911481374, 0.041773058947794456, 0.020624125026685116, 0.17546070662564392, 0.00824390363571477, 0.013981094347126563, 0.674388386193207, 0.004395438718508566]","[0.012041021045872222, -0.020081396398666046, -0.005713976273986043, 0.012043639729481958, -0.020085108638554366, -0.005646976759198212, 0.00853070763901127, 0.03411022442272801, 0.0031867809309578765, 0.004395438718508566, 0.5164110949316411]"
"[0.23982918008344045, 0.0218675425453572, 0.024250841051434, 0.0307452871183087, 0.02187171948243918, 0.024209529058533092, 0.03719995566817958, -0.021227036348491685, 0.01636016563210598, 0.03705718117313332, -0.021527303077666624]","[0.0218675425453572, 0.2969432410608508, -0.02188389049187343, 0.02187318328755465, 0.08781848508941004, -0.02199370349219858, 0.16346658246864648, -0.05553358154224947, 0.015214590129439416, 0.1627622933705645, -0.054367617602839105]","[0.024250841051434, -0.02188389049187343, 0.4484152164642967, 0.02435221344052799, -0.02179601737143964, 0.23940382816314756, -0.03706253744695824, 0.017032193257864044, 0.053418728260564284, -0.0406897943504584, 0.011392738904774779]","[0.0307452871183087, 0.02187318328755465, 0.02435221344052799, 0.23985299645225322, 0.02187739507629011, 0.0243109767946606, 0.03722803477106623, -0.021215723345126992, 0.01640828109099554, 0.03708517563076288, -0.021519303671077343]","[0.02187171948243918, 0.08781848508941004, -0.02179601737143964, 0.02187739507629011, 0.29688530240447775, -0.021905748410512037, 0.16341341928153513, -0.05550953966737255, 0.015220672655567563, 0.16270969032852775, -0.054345624187814974]","[0.024209529058533092, -0.02199370349219858, 0.23940382816314756, 0.0243109767946606, -0.021905748410512037, 0.4485858412725764, -0.03718575774046122, 0.0174238323205324, 0.053584435620259364, -0.04078347279279849, 0.011777931308447454]","[0.03719995566817958, 0.16346658246864648, -0.03706253744695824, 0.03722803477106623, 0.16341341928153513, -0.03718575774046122, 0.693852354078898, -0.07731465011090499, 0.06297544706986768, 0.4568851209293214, -0.06921096853620612]","[-0.021227036348491685, -0.05553358154224947, 0.017032193257864044, -0.021215723345126992, -0.05550953966737255, 0.0174238323205324, -0.07731465011090499, 0.407860882384701, 0.023770304239380573, -0.0651284040919197, 0.19198426990577286]","[0.01636016563210598, 0.015214590129439416, 0.053418728260564284, 0.01640828109099554, 0.015220672655567563, 0.053584435620259364, 0.06297544706986768, 0.023770304239380573, 0.387273368073792, 0.0692619412808913, 0.02299087487193946]","[0.03705718117313332, 0.1627622933705645, -0.0406897943504584, 0.03708517563076288, 0.16270969032852775, -0.04078347279279849, 0.4568851209293214, -0.0651284040919197, 0.0692619412808913, 0.5336326852659498, -0.06620291854379341]","[-0.021527303077666624, -0.054367617602839105, 0.011392738904774779, -0.021519303671077343, -0.054345624187814974, 0.011777931308447454, -0.06921096853620612, 0.19198426990577286, 0.02299087487193946, -0.06620291854379341, 0.23857985710791338]"
"[0.9109238172930652, -0.18916293078057556, -0.05824731643235514, 0.4212956643597053, -0.18915048350252248, -0.05839891058874801, 0.035492668824981956, -0.005717567662803108, -0.014776225881120255, 0.027089225939721184, -0.038648013812861794]","[-0.18916293078057556, 1.7000310384308297, 0.046426093455541266, -0.18918217930844047, 1.2103277032016944, 0.0464677591049934, 0.011798849464575541, 0.09105085162677307, 0.02010245222080155, 0.03176366605400367, 0.13662256003647963]","[-0.05824731643235514, 0.046426093455541266, 0.6649960928698427, -0.0584665556451718, 0.04640141094139037, 0.17524840069530134, -0.07521699218548916, -0.13416645070401562, -0.002286949128903213, -0.07766369134399465, -0.14945868954624045]","[0.4212956643597053, -0.18918217930844047, -0.0584665556451718, 0.9110636029498491, -0.1891697104405398, -0.05861801677639612, 0.03560286409191179, -0.005503876018156083, -0.014785585714281718, 0.02719055879335426, -0.03843852359375658]","[-0.18915048350252248, 1.2103277032016944, 0.04640141094139037, -0.1891697104405398, 1.7000201419498135, 0.04644315479048671, 0.011799512637188784, 0.09104246654834394, 0.020124784545492606, 0.03175784477876745, 0.13660976848692363]","[-0.05839891058874801, 0.0464677591049934, 0.17524840069530134, -0.05861801677639612, 0.04644315479048671, 0.6648992918688705, -0.07499040404844409, -0.1335106819274183, -0.002182106561855503, -0.07766566567380916, -0.1492352286698818]","[0.035492668824981956, 0.011798849464575541, -0.07521699218548916, 0.03560286409191179, 0.011799512637188784, -0.07499040404844409, 0.6641467689342478, 0.39801551313742217, 0.0015373260462397762, 0.14097967696158673, 0.3218016337581168]","[-0.005717567662803108, 0.09105085162677307, -0.13416645070401562, -0.005503876018156083, 0.09104246654834394, -0.1335106819274183, 0.39801551313742217, 1.4930455048927362, 0.005611152083530586, 0.3152656985753488, 0.8111962139556222]","[-0.014776225881120255, 0.02010245222080155, -0.002286949128903213, -0.014785585714281718, 0.020124784545492606, -0.002182106561855503, 0.0015373260462397762, 0.005611152083530586, 0.5474542353375549, -0.011488291238007011, -0.007921108617940202]","[0.027089225939721184, 0.03176366605400367, -0.07766369134399465, 0.02719055879335426, 0.03175784477876745, -0.07766566567380916, 0.14097967696158673, 0.3152656985753488, -0.011488291238007011, 0.6833820720255434, 0.4064998736625568]","[-0.038648013812861794, 0.13662256003647963, -0.14945868954624045, -0.03843852359375658, 0.13660976848692363, -0.1492352286698818, 0.3218016337581168, 0.8111962139556222, -0.007921108617940202, 0.4064998736625568, 1.4881903127400746]"
