"[0.4968163672492899, -0.19307754292003326, 0.08278340563933481, 0.15839355037797698, -0.19267134501523592, 0.08165712727888126, -7.864110255571449e-05, -0.007671113934522195, 0.030045410754729034, -8.966509610424887e-05, -0.006521551306345007]","[-0.19307754292003326, 0.5807612988678912, -0.10384564474059363, -0.19448302906941037, 0.24062331804354617, -0.10244609328222816, 0.00014970767084252675, 0.009860966022321173, -0.03072239268199115, 0.00018664012222633302, 0.008347500369163435]","[0.08278340563933481, -0.10384564474059363, 0.38456572675736017, 0.08338285175217963, -0.10360952976884975, 0.04434916171490759, -2.7105708006421278e-05, -0.004126556134176111, 0.012470406094605617, -3.741068943250251e-05, -0.0035173375987485166]","[0.15839355037797698, -0.19448302906941037, 0.08338285175217963, 0.49921080131822726, -0.19407585432803678, 0.08224783726127283, -8.082716359367432e-05, -0.00773140393003201, 0.030953860930174163, -9.211306284363503e-05, -0.006574736452822351]","[-0.19267134501523592, 0.24062331804354617, -0.10360952976884975, -0.19407585432803678, 0.5797082932683839, -0.10221321817587152, 0.0001485426759020737, 0.00983585320493377, -0.0308253629714337, 0.00018523828495635263, 0.008324634155461311]","[0.08165712727888126, -0.10244609328222816, 0.04434916171490759, 0.08224783726127283, -0.10221321817587152, 0.3833617979758809, -2.463491234480333e-05, -0.004064247278320912, 0.012262803445684166, -3.45331093462689e-05, -0.003462874554548943]","[-7.864110255571449e-05, 0.00014970767084252675, -2.7105708006421278e-05, -8.082716359367432e-05, 0.0001485426759020737, -2.463491234480333e-05, 0.3403887114289845, 0.002464838404244336, 0.0003706167080538967, 0.0008680027239990758, 0.0024311724198455243]","[-0.007671113934522195, 0.009860966022321173, -0.004126556134176111, -0.00773140393003201, 0.00983585320493377, -0.004064247278320912, 0.002464838404244336, 0.34783127164735916, 0.0002610970711830486, 0.0027547583533456873, 0.008035755897737123]","[0.030045410754729034, -0.03072239268199115, 0.012470406094605617, 0.030953860930174163, -0.0308253629714337, 0.012262803445684166, 0.0003706167080538967, 0.0002610970711830486, 0.400111836660597, 0.00043794039535603003, 0.0003002130654759105]","[-8.966509610424887e-05, 0.00018664012222633302, -3.741068943250251e-05, -9.211306284363503e-05, 0.00018523828495635263, -3.45331093462689e-05, 0.0008680027239990758, 0.0027547583533456873, 0.00043794039535603003, 0.3405826068138356, 0.002716228414593155]","[-0.006521551306345007, 0.008347500369163435, -0.0035173375987485166, -0.006574736452822351, 0.008324634155461311, -0.003462874554548943, 0.0024311724198455243, 0.008035755897737123, 0.0003002130654759105, 0.002716228414593155, 0.34749310529471017]"
"[0.1139067547915332, 0.02142276523011779, -0.030035891057815504, 0.0350297253912139, 0.021873464850451555, -0.029632885155064143, 0.000560567661329771, 0.0005864296898709451, -0.021080999442255714, 0.0007567348185482727, 0.0007343846208896662]","[0.02142276523011779, 0.09439675742291244, -0.019331087772787085, 0.021456260597189115, 0.015789239291128094, -0.019104100679823592, 0.0008148414157025871, 0.0008524856214548137, -0.020481250180198887, 0.0010996973091493161, 0.0010672486523485203]","[-0.030035891057815504, -0.019331087772787085, 0.10505389234238115, -0.030053682961639995, -0.01972240645931118, 0.025821149715828596, -0.0007505943732787946, -0.0007852982044990254, 0.02129108789350307, -0.0010131036593845225, -0.0009832426275666816]","[0.0350297253912139, 0.021456260597189115, -0.030053682961639995, 0.11393760006371237, 0.021911053969883375, -0.029655257798945903, 0.0005503351628422178, 0.0005757368460752303, -0.022663573985376002, 0.0007429156762941979, 0.000720984325942968]","[0.021873464850451555, 0.015789239291128094, -0.01972240645931118, 0.021911053969883375, 0.09497233804549832, -0.019494676299026587, 0.0008369109354347542, 0.0008755434795419658, -0.022391519901177537, 0.0011295069382808956, 0.0010961507644719258]","[-0.029632885155064143, -0.019104100679823592, 0.025821149715828596, -0.029655257798945903, -0.019494676299026587, 0.10438062158161272, -0.0007452966476364577, -0.0007797447486953034, 0.02252416511416457, -0.0010059601956635112, -0.0009762999736654182]","[0.000560567661329771, 0.0008148414157025871, -0.0007505943732787946, 0.0005503351628422178, 0.0008369109354347542, -0.0007452966476364577, 0.07945721007194564, 0.0005951350011071551, -0.0021595460945895567, 0.0007654259881295272, 0.0007440703880372153]","[0.0005864296898709451, 0.0008524856214548137, -0.0007852982044990254, 0.0005757368460752303, 0.0008755434795419658, -0.0007797447486953034, 0.0005951350011071551, 0.07951464479482859, -0.002256279900720513, 0.0008020709672601641, 0.0007805742083858983]","[-0.021080999442255714, -0.020481250180198887, 0.02129108789350307, -0.022663573985376002, -0.022391519901177537, 0.02252416511416457, -0.0021595460945895567, -0.002256279900720513, 0.7145005558293103, -0.0029169670638506356, -0.0028281893328428297]","[0.0007567348185482727, 0.0010996973091493161, -0.0010131036593845225, 0.0007429156762941979, 0.0011295069382808956, -0.0010059601956635112, 0.0007654259881295272, 0.0008020709672601641, -0.0029169670638506356, 0.07992218534026826, 0.0010032588695956075]","[0.0007343846208896662, 0.0010672486523485203, -0.0009832426275666816, 0.000720984325942968, 0.0010961507644719258, -0.0009762999736654182, 0.0007440703880372153, 0.0007805742083858983, -0.0028281893328428297, 0.0010032588695956075, 0.07986524265798868]"
"[0.5353439843122574, -0.010495258586793597, -0.013454121391903799, 0.07416375138108544, -0.0104541695684152, -0.013222068419918326, -9.575939469293384e-30, 1.0596190669296689e-36, -2.379946480573364e-06, -1.1093683618226759e-29, -1.238720225207619e-34]","[-0.010495258586793597, 0.46331682731497353, 0.0019204886979599608, -0.010586395215030287, 0.0014922650032561792, 0.001887364639015889, 1.180238924711662e-30, -7.121699072559303e-38, 3.3972194724221743e-07, 1.3665379628026594e-30, -2.8464228063456657e-35]","[-0.013454121391903799, 0.0019204886979599608, 0.464280617220881, -0.013570951601412706, 0.0019129699698835247, 0.0024194575821179665, 5.9500484297152235e-31, 1.4135463465689047e-38, 4.354976373275918e-07, 6.876536698390973e-31, -8.723495923893489e-35]","[0.07416375138108544, -0.010586395215030287, -0.013570951601412706, 0.5366264568584783, -0.010544949396048876, -0.013336883574222622, -9.664822451089977e-30, 1.046225054990545e-36, -2.400612984007226e-06, -1.1196639167078112e-29, -1.2418508476930967e-34]","[-0.0104541695684152, 0.0014922650032561792, 0.0019129699698835247, -0.010544949396048876, 0.4633051198946918, 0.0018799755918858978, 1.1838515480677006e-30, -6.739240674178649e-38, 3.3839193319650876e-07, 1.3707201206636753e-30, -2.8588220540802874e-35]","[-0.013222068419918326, 0.001887364639015889, 0.0024194575821179665, -0.013336883574222622, 0.0018799755918858978, 0.46419642456603377, 5.966648415957518e-31, 2.240031164677873e-38, 4.2798629429070405e-07, 6.895980214387001e-31, -8.598645804285981e-35]","[-9.575939469293384e-30, 1.180238924711662e-30, 5.9500484297152235e-31, -9.664822451089977e-30, 1.1838515480677006e-30, 5.966648415957518e-31, 0.46181869712044193, 2.810439036740627e-35, 7.75831502535116e-30, 6.107757799643878e-29, 2.7945469438667504e-35]","[1.0596190669296689e-36, -7.121699072559303e-38, 1.4135463465689047e-38, 1.046225054990545e-36, -6.739240674178649e-38, 2.240031164677873e-38, 2.810439036740627e-35, 0.46181869712044193, -4.337241866494257e-37, 3.255241865554703e-35, 8.092899415410056e-36]","[-2.379946480573364e-06, 3.3972194724221743e-07, 4.354976373275918e-07, -2.400612984007226e-06, 3.3839193319650876e-07, 4.2798629429070405e-07, 7.75831502535116e-30, -4.337241866494257e-37, 0.46181869719747864, 8.986208748798036e-30, -4.315442985435505e-37]","[-1.1093683618226759e-29, 1.3665379628026594e-30, 6.876536698390973e-31, -1.1196639167078112e-29, 1.3707201206636753e-30, 6.895980214387001e-31, 6.107757799643878e-29, 3.255241865554703e-35, 8.986208748798036e-30, 0.46181869712044193, 2.256018073541593e-34]","[-1.238720225207619e-34, -2.8464228063456657e-35, -8.723495923893489e-35, -1.2418508476930967e-34, -2.8588220540802874e-35, -8.598645804285981e-35, 2.7945469438667504e-35, 8.092899415410056e-36, -4.315442985435505e-37, 2.256018073541593e-34, 0.46181869712044193]"
"[0.2450889724756335, -7.064870388030242e-15, 4.928458901673272e-16, 2.0387331805845117e-15, -7.073199565227204e-15, 4.3785741602256563e-16, 1.5282621363654869e-13, 1.337621204148875e-15, -1.832051058244882e-15, -2.7169263344917646e-15, -9.126633017690103e-15]","[-7.064870388030242e-15, 0.24508897247565697, -1.7123978329037615e-15, -7.203341969437859e-15, 2.550497630019272e-14, -1.506773137840005e-15, -5.66386834876266e-13, -4.882988373117537e-15, 7.096041136642573e-15, 1.0091834823159666e-14, 3.394928755754099e-14]","[4.928458901673272e-16, -1.7123978329037615e-15, 0.24508897247563163, 5.035876398992095e-16, -1.710561126588857e-15, 1.2996376064794647e-16, 3.8702578504246515e-14, 2.232137894319659e-16, -7.550805354102499e-16, -7.235737186245335e-16, -2.4375573631197577e-15]","[2.0387331805845117e-15, -7.203341969437859e-15, 5.035876398992095e-16, 0.24508897247563358, -7.211737840127025e-15, 4.470431363004185e-16, 1.5684089867061476e-13, 1.4003117670377829e-15, -1.8094015009371702e-15, -2.7787767335758635e-15, -9.344462478631389e-15]","[-7.073199565227204e-15, 2.550497630019272e-14, -1.710561126588857e-15, -7.211737840127025e-15, 0.24508897247565703, -1.5053934835726135e-15, -5.663345813118522e-13, -4.916351197971986e-15, 6.8464620917811154e-15, 1.0079241290105132e-14, 3.390883640900381e-14]","[4.3785741602256563e-16, -1.506773137840005e-15, 1.2996376064794647e-16, 4.470431363004185e-16, -1.5053934835726135e-15, 0.2450889724756316, 3.345242509429471e-14, 1.7561863703743389e-16, -6.616239391591331e-16, -6.304941334778929e-16, -2.1208759306310846e-15]","[1.5282621363654869e-13, -5.66386834876266e-13, 3.8702578504246515e-14, 1.5684089867061476e-13, -5.663345813118522e-13, 3.345242509429471e-14, 0.2450889724897654, 1.7717533574564597e-13, -1.458640709831958e-13, -2.33767498599567e-13, -8.011925274637485e-13]","[1.337621204148875e-15, -4.882988373117537e-15, 2.232137894319659e-16, 1.4003117670377829e-15, -4.916351197971986e-15, 1.7561863703743389e-16, 1.7717533574564597e-13, 0.24508897247563965, 6.209211907773061e-15, -1.0226540106751906e-15, -4.5128444588295026e-15]","[-1.832051058244882e-15, 7.096041136642573e-15, -7.550805354102499e-16, -1.8094015009371702e-15, 6.8464620917811154e-15, -6.616239391591331e-16, -1.458640709831958e-13, 6.209211907773061e-15, 0.24508897247567482, 5.050139963134371e-15, 1.602088008241297e-14]","[-2.7169263344917646e-15, 1.0091834823159666e-14, -7.235737186245335e-16, -2.7787767335758635e-15, 1.0079241290105132e-14, -6.304941334778929e-16, -2.33767498599567e-13, -1.0226540106751906e-15, 5.050139963134371e-15, 0.245088972475636, 1.5032914946263716e-14]","[-9.126633017690103e-15, 3.394928755754099e-14, -2.4375573631197577e-15, -9.344462478631389e-15, 3.390883640900381e-14, -2.1208759306310846e-15, -8.011925274637485e-13, -4.5128444588295026e-15, 1.602088008241297e-14, 1.5032914946263716e-14, 0.2450889724756821]"
"[0.9449553855774511, -0.04889121676140116, -0.0010467520713211432, 0.4539429369981951, -0.04918097905460816, -0.0009305628130982191, 1.3909639611219454e-06, 4.375008228398317e-06, 0.2021737705256503, 1.6111085559797811e-06, 4.35396439182625e-06]","[-0.04889121676140116, 0.49666114263505107, 0.00011469053026114776, -0.04893246119588882, 0.005303445469750292, 0.00010068245238272675, -1.6250905349665604e-07, -5.11647970801983e-07, -0.02222654761885522, -1.8822898162897267e-07, -5.092112554485934e-07]","[-0.0010467520713211432, 0.00011469053026114776, 0.4913962879977504, -0.0010515310527109828, 0.00011410351168210904, 6.360085113504962e-06, -7.118098970639073e-08, -2.2525615524059579e-07, -0.00062857723568878, -8.244666591272169e-08, -2.2424553555173054e-07]","[0.4539429369981951, -0.04893246119588882, -0.0010515310527109828, 0.9457475332501667, -0.04923183536134494, -0.0009369344237170587, 1.4036266270288698e-06, 4.414366265751087e-06, 0.19569298110669986, 1.6257753203982086e-06, 4.393141325608401e-06]","[-0.04918097905460816, 0.005303445469750292, 0.00011410351168210904, -0.04923183536134494, 0.4967241270704103, 0.0001026363463715941, -1.6229649136466007e-07, -5.10771409827084e-07, -0.020612874846084806, -1.8798277818662382e-07, -5.083406991081127e-07]","[-0.0009305628130982191, 0.00010068245238272675, 6.360085113504962e-06, -0.0009369344237170587, 0.0001026363463715941, 0.49139185365658405, -6.750462102679264e-08, -2.1338693005029543e-07, 3.409532728649962e-05, -7.818844584174698e-08, -2.1243604884744386e-07]","[1.3909639611219454e-06, -1.6250905349665604e-07, -7.118098970639073e-08, 1.4036266270288698e-06, -1.6229649136466007e-07, -6.750462102679264e-08, 0.4913869445560315, 1.5172226524555473e-06, -9.916561871497935e-07, 5.594539649938619e-07, 1.5099841819975186e-06]","[4.375008228398317e-06, -5.11647970801983e-07, -2.2525615524059579e-07, 4.414366265751087e-06, -5.10771409827084e-07, -2.1338693005029543e-07, 1.5172226524555473e-06, 0.49139123434342036, -2.997891220729573e-06, 1.7573505893812892e-06, 4.749890031721433e-06]","[0.2021737705256503, -0.02222654761885522, -0.00062857723568878, 0.19569298110669986, -0.020612874846084806, 3.409532728649962e-05, -9.916561871497935e-07, -2.997891220729573e-06, 1.8975907937104732, -1.1486039534047256e-06, -2.9813200475179286e-06]","[1.6111085559797811e-06, -1.8822898162897267e-07, -8.244666591272169e-08, 1.6257753203982086e-06, -1.8798277818662382e-07, -7.818844584174698e-08, 5.594539649938619e-07, 1.7573505893812892e-06, -1.1486039534047256e-06, 0.4913871095453764, 1.748967795480037e-06]","[4.35396439182625e-06, -5.092112554485934e-07, -2.2424553555173054e-07, 4.393141325608401e-06, -5.083406991081127e-07, -2.1243604884744386e-07, 1.5099841819975186e-06, 4.749890031721433e-06, -2.9813200475179286e-06, 1.748967795480037e-06, 0.4913911886661226]"
"[0.09509713053713462, -0.0004712763490578177, -0.0008911022908917682, 0.001697991092776239, -0.000458458923279545, -0.0008683764879587728, 0.0008220538943792988, 0.0023475963392835626, 0.03338926299037431, 0.0009521587888251272, 0.0025164046085565917]","[-0.0004712763490578177, 0.09355423962608285, 0.00025123155130009236, -0.00047852156808570547, 0.00012943709502016138, 0.0002453623464365567, -0.00023581526405035884, -0.0006603136536812385, -0.009297173191754975, -0.0002731372953875745, -0.0007087963844210718]","[-0.0008911022908917682, 0.00025123155130009236, 0.09389881829033807, -0.0009101229910269226, 0.00024710531573998777, 0.0004691413923176082, -0.0004727792446906757, -0.001251913389043917, -0.016990414535718798, -0.0005476051142122934, -0.0013489385985739919]","[0.001697991092776239, -0.00047852156808570547, -0.0009101229910269226, 0.09516101087795237, -0.00047265793709004393, -0.0008975862524375577, 0.0009279928588896623, 0.002391632201130318, 0.03172484446297954, 0.0010748645112696239, 0.0025813767106480454]","[-0.000458458923279545, 0.00012943709502016138, 0.00024710531573998777, -0.00047265793709004393, 0.09355054507094536, 0.0002453968292630225, -0.00026558857821749844, -0.000647123139766067, -0.00823944315711369, -0.0003076227752338674, -0.000701409852212638]","[-0.0008683764879587728, 0.0002453623464365567, 0.0004691413923176082, -0.0008975862524375577, 0.0002453968292630225, 0.0938887493185308, -0.0005147544751467448, -0.001227151411389588, -0.015355901228544105, -0.0005962236843881708, -0.0013323352334415955]","[0.0008220538943792988, -0.00023581526405035884, -0.0004727792446906757, 0.0009279928588896623, -0.00026558857821749844, -0.0005147544751467448, 0.09430849672996153, 0.001225653404216613, 0.005659110822636125, 0.0010273191026740998, 0.001402791403672955]","[0.0023475963392835626, -0.0006603136536812385, -0.001251913389043917, 0.002391632201130318, -0.000647123139766067, -0.001227151411389588, 0.001225653404216613, 0.09675244321023392, 0.045233520266104964, 0.0014196352272982228, 0.0035791347727707925]","[0.03338926299037431, -0.009297173191754975, -0.016990414535718798, 0.03172484446297954, -0.00823944315711369, -0.015355901228544105, 0.005659110822636125, 0.045233520266104964, 0.9981012070598434, 0.00655476750524276, 0.04650447519447192]","[0.0009521587888251272, -0.0002731372953875745, -0.0005476051142122934, 0.0010748645112696239, -0.0003076227752338674, -0.0005962236843881708, 0.0010273191026740998, 0.0014196352272982228, 0.00655476750524276, 0.09461146352633239, 0.001624808528647216]","[0.0025164046085565917, -0.0007087963844210718, -0.0013489385985739919, 0.0025813767106480454, -0.000701409852212638, -0.0013323352334415955, 0.001402791403672955, 0.0035791347727707925, 0.04650447519447192, 0.001624808528647216, 0.09728459618298]"
"[0.3854433057281156, -0.00953615818175597, 0.006819641811643671, 0.008844998638022029, -0.00947257276445498, 0.006694636686497706, -0.012492259604200796, -0.016148321635090536, -0.015646021042113923, -0.014489747194103916, -0.016302368583992404]","[-0.00953615818175597, 0.3956900937908998, -0.011408275582792213, -0.009588690409719998, 0.018961278859928505, -0.011217675461108774, 0.016026025632730728, 0.01969928267662927, 0.026351743858460314, 0.01849407917143317, 0.019862518300183055]","[0.006819641811643671, -0.011408275582792213, 0.38445045049915827, 0.006851589181578025, -0.01135230520268423, 0.0076726812983717845, -0.012999948707958583, -0.015865596582988663, -0.017670470857112534, -0.01506474942795984, -0.016095332033734696]","[0.008844998638022029, -0.009588690409719998, 0.006851589181578025, 0.38551678938370687, -0.0095270919919479, 0.006726398061030919, -0.012548874963782207, -0.016228976811222956, -0.015173006128455126, -0.014555603068826754, -0.016382631398326127]","[-0.00947257276445498, 0.018961278859928505, -0.01135230520268423, -0.0095270919919479, 0.3955057537611092, -0.011163292214912685, 0.01591901812421295, 0.01957020804413098, 0.0252431669782801, 0.01837139449693096, 0.019732804762048098]","[0.006694636686497706, -0.011217675461108774, 0.0076726812983717845, 0.006726398061030919, -0.011163292214912685, 0.3841807537028966, -0.012764672410655122, -0.015572836774237478, -0.017335035484008696, -0.014792412649312222, -0.015799087607394457]","[-0.012492259604200796, 0.016026025632730728, -0.012999948707958583, -0.012548874963782207, 0.01591901812421295, -0.012764672410655122, 0.4082260674527417, 0.03893680835850763, 0.032196012255520844, 0.03668999491442273, 0.03954193489827099]","[-0.016148321635090536, 0.01969928267662927, -0.015865596582988663, -0.016228976811222956, 0.01957020804413098, -0.015572836774237478, 0.03893680835850763, 0.42588399553935374, 0.03656547617288314, 0.04523984036064794, 0.049926796596357015]","[-0.015646021042113923, 0.026351743858460314, -0.017670470857112534, -0.015173006128455126, 0.0252431669782801, -0.017335035484008696, 0.032196012255520844, 0.03656547617288314, 0.7597617062267059, 0.037168958406623265, 0.03708332532763238]","[-0.014489747194103916, 0.01849407917143317, -0.01506474942795984, -0.014555603068826754, 0.01837139449693096, -0.014792412649312222, 0.03668999491442273, 0.04523984036064794, 0.037168958406623265, 0.4192595960634692, 0.04595236749669219]","[-0.016302368583992404, 0.019862518300183055, -0.016095332033734696, -0.016382631398326127, 0.019732804762048098, -0.015799087607394457, 0.03954193489827099, 0.049926796596357015, 0.03708332532763238, 0.04595236749669219, 0.42727210209712474]"
